time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/07/31/12:34:02.545557,"(2000, 2001, 2002, 2003)","(0.0, 69.28768920898438, -76.42424011230469, 56.304901123046875)","(0.640076756477356, 0.4242784380912781, 0.5140131115913391, 0.3760601282119751)","(1.5433132648468018, -990.9741821289062, 239.89405822753906, -991.0667114257812)","(200.0, -997.9927978515625, 297.3582458496094, -998.5927734375)"
2024/07/31/12:34:02.645308,"(2000, 2001, 2002, 2003)","(0.0, 69.8145751953125, -77.01190185546875, 56.735286712646484)","(0.6403215527534485, 0.4238118529319763, 0.5136229395866394, 0.37541040778160095)","(1.607345461845398, -990.9476928710938, 239.92112731933594, -991.0376586914062)","(200.0, -997.959716796875, 297.3146057128906, -998.5690307617188)"
2024/07/31/12:34:02.745489,"(2000, 2001, 2002, 2003)","(0.0, 70.34135437011719, -77.59947967529297, 57.16551208496094)","(0.6405646204948425, 0.4233519434928894, 0.5132387280464172, 0.37476846575737)","(1.671401858329773, -990.9215087890625, 239.94773864746094, -991.0088500976562)","(200.0, -997.9264526367188, 297.2707214355469, -998.5450439453125)"
2024/07/31/12:34:02.845895,"(2000, 2001, 2002, 2003)","(0.0, 70.86802673339844, -78.18696594238281, 57.5955810546875)","(0.6408059597015381, 0.4228985905647278, 0.5128604173660278, 0.37413421273231506)","(1.7354824542999268, -990.8956909179688, 239.97390747070312, -990.980224609375)","(200.0, -997.8929443359375, 297.2265930175781, -998.52099609375)"
2024/07/31/12:34:02.944940,"(2000, 2001, 2002, 2003)","(0.0, 71.39459228515625, -78.77437591552734, 58.0255012512207)","(0.6410455107688904, 0.42245176434516907, 0.5124878883361816, 0.373507559299469)","(1.7995870113372803, -990.8701782226562, 239.99960327148438, -990.9518432617188)","(200.0, -997.8592529296875, 297.1822509765625, -998.4967041015625)"
2024/07/31/12:34:03.045464,"(2000, 2001, 2002, 2003)","(0.0, 71.92631530761719, -79.36756896972656, 58.459564208984375)","(0.6412833333015442, 0.4220069348812103, 0.5121173858642578, 0.37288227677345276)","(1.863715410232544, -990.8447265625, 240.0250701904297, -990.9234008789062)","(200.0, -997.8250732421875, 297.1372375488281, -998.4720458984375)"
2024/07/31/12:34:03.145804,"(2000, 2001, 2002, 2003)","(0.0, 72.4474105834961, -79.94894409179688, 58.884891510009766)","(0.6415194272994995, 0.42157724499702454, 0.511759877204895, 0.37227681279182434)","(1.9278672933578491, -990.8201293945312, 240.04959106445312, -990.8956909179688)","(200.0, -997.7913818359375, 297.0929260253906, -998.44775390625)"
2024/07/31/12:34:03.245816,"(2000, 2001, 2002, 2003)","(0.0, 72.96841430664062, -80.53024291992188, 59.31007766723633)","(0.6417514681816101, 0.4211536943912506, 0.5114079117774963, 0.37167856097221375)","(1.9914007186889648, -990.7958374023438, 240.0736541748047, -990.8682250976562)","(200.0, -997.7574462890625, 297.0483703613281, -998.4232788085938)"
2024/07/31/12:34:03.345141,"(2000, 2001, 2002, 2003)","(0.0, 73.49983978271484, -81.12320709228516, 59.74371337890625)","(0.6419864892959595, 0.42072778940200806, 0.511054277420044, 0.3710755407810211)","(2.056241273880005, -990.7714233398438, 240.0977325439453, -990.8403930664062)","(200.0, -997.7227172851562, 297.0027160644531, -998.3981323242188)"
2024/07/31/12:34:03.446395,"(2000, 2001, 2002, 2003)","(0.0, 74.02590942382812, -81.71023559570312, 60.17291259765625)","(0.6422175168991089, 0.4203122556209564, 0.5107097029685974, 0.370485782623291)","(2.1204631328582764, -990.74755859375, 240.12109375, -990.8131103515625)","(200.0, -997.6881103515625, 296.9573059082031, -998.3731079101562)"
2024/07/31/12:34:03.545190,"(2000, 2001, 2002, 2003)","(0.0, 74.55189514160156, -82.29718780517578, 60.60197830200195)","(0.6424468755722046, 0.4199027419090271, 0.5103704929351807, 0.3699031472206116)","(2.1847078800201416, -990.7239990234375, 240.14398193359375, -990.7860107421875)","(200.0, -997.6533203125, 296.91168212890625, -998.347900390625)"
2024/07/31/12:34:03.644970,"(2000, 2001, 2002, 2003)","(0.0, 75.07778930664062, -82.88407897949219, 61.03091049194336)","(0.6426745653152466, 0.4194991886615753, 0.5100365877151489, 0.369327574968338)","(2.2489752769470215, -990.7008056640625, 240.16639709472656, -990.7590942382812)","(200.0, -997.618408203125, 296.8658752441406, -998.3225708007812)"
2024/07/31/12:34:03.745296,"(2000, 2001, 2002, 2003)","(0.0, 75.60359191894531, -83.47090148925781, 61.459712982177734)","(0.6429005861282349, 0.4191015064716339, 0.5097079277038574, 0.36875900626182556)","(2.313265323638916, -990.6779174804688, 240.18833923339844, -990.7324829101562)","(200.0, -997.583251953125, 296.8198547363281, -998.297119140625)"
2024/07/31/12:34:03.845994,"(2000, 2001, 2002, 2003)","(0.0, 76.13457489013672, -84.06352233886719, 61.892669677734375)","(0.6431272029876709, 0.4187057316303253, 0.5093812346458435, 0.3681917190551758)","(2.378221035003662, -990.6551513671875, 240.2100067138672, -990.7057495117188)","(200.0, -997.547607421875, 296.773193359375, -998.2711791992188)"
2024/07/31/12:34:03.945681,"(2000, 2001, 2002, 2003)","(0.0, 76.65495300292969, -84.64434814453125, 62.316932678222656)","(0.6433477401733398, 0.4183235168457031, 0.5090660452842712, 0.36764252185821533)","(2.4419126510620117, -990.6331787109375, 240.2307891845703, -990.6798095703125)","(200.0, -997.5125122070312, 296.727294921875, -998.2456665039062)"
2024/07/31/12:34:04.045354,"(2000, 2001, 2002, 2003)","(0.0, 77.18051147460938, -85.23098754882812, 62.745357513427734)","(0.6435688734054565, 0.4179430305957794, 0.508752703666687, 0.3670944571495056)","(2.5062694549560547, -990.611328125, 240.2512969970703, -990.65380859375)","(200.0, -997.4769287109375, 296.68072509765625, -998.2197875976562)"
2024/07/31/12:34:04.145459,"(2000, 2001, 2002, 2003)","(0.0, 77.70599365234375, -85.81756591796875, 63.17366027832031)","(0.6437883973121643, 0.4175681471824646, 0.5084443092346191, 0.36655306816101074)","(2.570648193359375, -990.5897827148438, 240.2713165283203, -990.6280517578125)","(200.0, -997.441162109375, 296.6340026855469, -998.1937255859375)"
2024/07/31/12:34:04.245106,"(2000, 2001, 2002, 2003)","(0.0, 78.23139953613281, -86.40408325195312, 63.601844787597656)","(0.6440063714981079, 0.4171987473964691, 0.5081408023834229, 0.36601829528808594)","(2.6350488662719727, -990.568603515625, 240.29086303710938, -990.6024780273438)","(200.0, -997.4052124023438, 296.58709716796875, -998.16748046875)"
2024/07/31/12:34:04.345330,"(2000, 2001, 2002, 2003)","(0.0, 78.76197814941406, -86.99640655517578, 64.03419494628906)","(0.6442248821258545, 0.4168311655521393, 0.5078392028808594, 0.3654847741127014)","(2.70011568069458, -990.5475463867188, 240.31011962890625, -990.576904296875)","(200.0, -997.3687133789062, 296.53955078125, -998.140869140625)"
2024/07/31/12:34:04.445122,"(2000, 2001, 2002, 2003)","(0.0, 79.2872314453125, -87.58281707763672, 64.46214294433594)","(0.644439697265625, 0.4164726138114929, 0.5075453519821167, 0.3649630844593048)","(2.764559507369995, -990.5270385742188, 240.3286895751953, -990.5518188476562)","(200.0, -997.33251953125, 296.4923095703125, -998.1143798828125)"
2024/07/31/12:34:04.545181,"(2000, 2001, 2002, 2003)","(0.0, 79.80716705322266, -88.16331481933594, 64.88570404052734)","(0.6446508169174194, 0.4161229133605957, 0.5072590708732605, 0.36445292830467224)","(2.8283801078796387, -990.507080078125, 240.34658813476562, -990.5271606445312)","(200.0, -997.2964477539062, 296.44537353515625, -998.0880126953125)"
2024/07/31/12:34:04.645157,"(2000, 2001, 2002, 2003)","(0.0, 80.33753204345703, -88.75548553466797, 65.31771087646484)","(0.6448646187782288, 0.41577136516571045, 0.5069716572761536, 0.3639387786388397)","(2.8935112953186035, -990.487060546875, 240.36436462402344, -990.5022583007812)","(200.0, -997.259521484375, 296.3973693847656, -998.0609741210938)"
2024/07/31/12:34:04.745860,"(2000, 2001, 2002, 2003)","(0.0, 80.85733032226562, -89.33588409423828, 65.74105834960938)","(0.6450726389884949, 0.415431946516037, 0.506694495677948, 0.3634410798549652)","(2.95737361907959, -990.4677734375, 240.3813018798828, -990.4780883789062)","(200.0, -997.2232055664062, 296.35015869140625, -998.0343627929688)"
2024/07/31/12:34:04.845251,"(2000, 2001, 2002, 2003)","(0.0, 81.38231658935547, -89.92208862304688, 66.1685791015625)","(0.6452812552452087, 0.41509413719177246, 0.5064190626144409, 0.36294445395469666)","(3.0219016075134277, -990.4486083984375, 240.39791870117188, -990.453857421875)","(200.0, -997.1864013671875, 296.30230712890625, -998.00732421875)"
