time,.Ship_ID,.Pos_X,.Pos_Y,.Vel_U,.Heading
2024/09/30/21:04:41.622961,2001,150.020094218,89.0788301473,0.609007342198,269.995002747
2024/09/30/21:04:41.724591,2001,150.020041084,88.4696305112,0.609199638444,269.995002747
2024/09/30/21:04:41.821746,2001,150.019987954,87.8604638665,0.609166647012,269.995002747
2024/09/30/21:04:41.923311,2001,150.019934843,87.2515311864,0.60893268242,269.995002747
2024/09/30/21:04:42.023030,2001,150.019881769,86.6430122474,0.608518941303,269.995002747
2024/09/30/21:04:42.124441,2001,150.01982871,86.0346638022,0.60834844751,269.995002747
2024/09/30/21:04:42.224258,2001,150.019775646,85.4262639804,0.608399824059,269.995002747
2024/09/30/21:04:42.323594,2001,150.019722561,84.8176109577,0.608653025048,269.995002747
2024/09/30/21:04:42.423237,2001,150.019669437,84.2085216833,0.609089276721,269.995002747
2024/09/30/21:04:42.524765,2001,150.019616297,83.5992483281,0.609273357488,269.995002747
2024/09/30/21:04:42.623864,2001,150.01956316,82.9900152729,0.609233057514,269.995002747
2024/09/30/21:04:42.722582,2001,150.019510045,82.3810226913,0.608992583965,269.995002747
2024/09/30/21:04:42.822083,2001,150.019456966,81.7724496541,0.608573039501,269.995002747
2024/09/30/21:04:42.923323,2001,150.019403903,81.1640524112,0.608397245244,269.995002747
2024/09/30/21:04:43.023199,2001,150.019350835,80.5556086274,0.608443786051,269.995002747
2024/09/30/21:04:43.121644,2001,150.019297746,79.9469160494,0.608692580388,269.995002747
2024/09/30/21:04:43.222695,2001,150.019244619,79.3377912304,0.609124821237,269.995002747
2024/09/30/21:04:43.321559,2001,150.019191476,78.7284858949,0.609305337894,269.995002747
2024/09/30/21:04:43.422453,2001,150.019138337,78.1192240299,0.609261867283,269.995002747
2024/09/30/21:04:43.522878,2001,150.019085219,77.5102054622,0.609018569993,269.995002747
2024/09/30/21:04:43.619839,2001,150.019032138,76.9016089566,0.608596507911,269.995002747
2024/09/30/21:04:43.724762,2001,150.018979073,76.2931905447,0.608418414207,269.995002747
2024/09/30/21:04:43.822579,2001,150.018926004,75.6847276899,0.608462857182,269.995002747
2024/09/30/21:04:43.923713,2001,150.018872913,75.0760179523,0.608709739842,269.995002747
2024/09/30/21:04:44.024578,2001,150.018819785,74.4668777139,0.609140240736,269.995002747
2024/09/30/21:04:44.126080,2001,150.018766641,73.857558505,0.609319211234,269.995002747
2024/09/30/21:04:44.223047,2001,150.018713501,73.2482841422,0.609274365161,269.995002747
2024/09/30/21:04:44.323619,2001,150.018660382,72.6392543016,0.6090298429,269.995002747
2024/09/30/21:04:44.422805,2001,150.0186073,72.0306476152,0.608606688648,269.995002747
2024/09/30/21:04:44.523604,2001,150.018554234,71.4222200201,0.608427597422,269.995002747
2024/09/30/21:04:44.623713,2001,150.018501164,70.8137488921,0.608471130338,269.995002747
2024/09/30/21:04:44.724433,2001,150.018448073,70.2050317107,0.608717183697,269.995002747
2024/09/30/21:04:44.823523,2001,150.018394944,69.5958847833,0.609146929786,269.995002747
2024/09/30/21:04:44.923378,2001,150.0183418,68.986559556,0.609325229549,269.995002747
2024/09/30/21:04:45.022705,2001,150.018288659,68.3772797716,0.609279786792,269.995002747
2024/09/30/21:04:45.123466,2001,150.01823554,67.7682450407,0.609034733131,269.995002747
2024/09/30/21:04:45.223874,2001,150.018182458,67.159633938,0.60861110509,269.995002747
