time,.Ship_ID,.Pos_X,.Pos_Y,.Vel_U,.Heading
2024/09/30/21:04:33.723741,2001,150.245626462,136.214599079,0.386692537657,271.206335583
2024/09/30/21:04:33.822191,2001,150.253767016,135.828014619,0.386692537657,271.206335583
2024/09/30/21:04:33.924012,2001,150.261907558,135.441430747,0.386692537657,271.206335583
2024/09/30/21:04:34.020838,2001,150.270048087,135.054847465,0.386692537657,271.206335583
2024/09/30/21:04:34.124743,2001,150.278188604,134.668264771,0.386692537657,271.206335583
2024/09/30/21:04:34.223273,2001,150.286329108,134.281682666,0.386692537657,271.206335583
2024/09/30/21:04:34.323931,2001,150.294469601,133.895101149,0.386692537657,271.206335583
2024/09/30/21:04:34.421499,2001,150.30261008,133.508520222,0.386692537657,271.206335583
2024/09/30/21:04:34.521958,2001,150.310750547,133.121939883,0.386692537657,271.206335583
2024/09/30/21:04:34.621541,2001,150.318891002,132.735360133,0.386692537657,271.206335583
2024/09/30/21:04:34.722839,2001,150.327031444,132.348780972,0.386692537657,271.206335583
2024/09/30/21:04:34.820408,2001,150.335171874,131.9622024,0.386692537657,271.206335583
2024/09/30/21:04:34.925177,2001,150.343312291,131.575624416,0.386692537657,271.206335583
2024/09/30/21:04:35.020704,2001,150.351452696,131.189047022,0.386692537657,271.206335583
2024/09/30/21:04:35.123569,2001,150.059879527,127.676939059,0.528596614316,270.188567414
2024/09/30/21:04:35.219309,2001,150.061619174,127.148352815,0.528596614316,270.188567414
2024/09/30/21:04:35.323518,2001,150.063358818,126.619767377,0.528596614316,270.188567414
2024/09/30/21:04:35.419129,2001,150.06509846,126.091182744,0.528596614316,270.188567414
2024/09/30/21:04:35.522599,2001,150.0668381,125.562598915,0.528596614316,270.188567414
2024/09/30/21:04:35.620733,2001,150.068577736,125.034015892,0.528596614316,270.188567414
2024/09/30/21:04:35.722692,2001,150.07031737,124.505433674,0.528596614316,270.188567414
2024/09/30/21:04:35.821574,2001,150.072057002,123.976852261,0.528596614316,270.188567414
2024/09/30/21:04:35.923031,2001,150.07379663,123.448271653,0.528596614316,270.188567414
2024/09/30/21:04:36.019587,2001,150.075536257,122.919691851,0.528596614316,270.188567414
2024/09/30/21:04:36.120475,2001,150.07727588,122.391112853,0.528596614316,270.188567414
2024/09/30/21:04:36.223891,2001,150.079015501,121.86253466,0.528596614316,270.188567414
2024/09/30/21:04:36.322874,2001,150.080755119,121.333957272,0.528596614316,270.188567414
2024/09/30/21:04:36.421894,2001,150.082494734,120.80538069,0.528596614316,270.188567414
2024/09/30/21:04:36.522751,2001,150.084234347,120.276804912,0.528596614316,270.188567414
2024/09/30/21:04:36.621783,2001,150.085973957,119.74822994,0.528596614316,270.188567414
2024/09/30/21:04:36.721871,2001,150.087713565,119.219655773,0.528596614316,270.188567414
2024/09/30/21:04:36.823557,2001,150.08945317,118.69108241,0.528596614316,270.188567414
2024/09/30/21:04:36.924462,2001,150.091192772,118.162509853,0.528596614316,270.188567414
2024/09/30/21:04:37.021071,2001,150.092932371,117.633938101,0.528596614316,270.188567414
2024/09/30/21:04:37.124414,2001,150.094671968,117.105367154,0.528596614316,270.188567414
2024/09/30/21:04:37.221827,2001,150.096411563,116.576797011,0.528596614316,270.188567414
2024/09/30/21:04:37.321605,2001,150.098151154,116.048227674,0.528596614316,270.188567414
2024/09/30/21:04:37.418870,2001,150.099890743,115.519659142,0.528596614316,270.188567414
2024/09/30/21:04:37.524423,2001,150.101630329,114.991091415,0.528596614316,270.188567414
2024/09/30/21:04:37.622858,2001,150.103369913,114.462524493,0.528596614316,270.188567414
2024/09/30/21:04:37.723813,2001,150.105109494,113.933958376,0.528596614316,270.188567414
2024/09/30/21:04:37.821700,2001,150.106849072,113.405393065,0.528596614316,270.188567414
2024/09/30/21:04:37.922377,2001,150.108588648,112.876828558,0.528596614316,270.188567414
2024/09/30/21:04:38.023617,2001,150.110328221,112.348264856,0.528596614316,270.188567414
