time,.Pos_Err,.Cov_XX,.Cov_YY,.Cov_UU,.Cov_Heading
2024/09/30/21:04:33.421237,1.16811499337,0.400336969047,100.440719053,0.315892795932,0.349943430925
2024/09/30/21:04:33.523516,1.25455742079,0.415310796349,110.424930928,0.325892795932,0.359943430925
2024/09/30/21:04:33.619417,1.34465066446,0.430601443136,121.050642513,0.335892795932,0.369943430925
2024/09/30/21:04:33.723771,1.43842431548,0.446218690513,132.337844693,0.345892795932,0.379943430925
2024/09/30/21:04:33.822281,1.53590616753,0.462172320133,144.306528318,0.355892795932,0.389943430925
2024/09/30/21:04:33.924073,1.63712077179,0.478472114224,156.976684206,0.365892795932,0.399943430925
2024/09/30/21:04:34.020884,1.74208682043,0.495127855599,170.368303136,0.375892795932,0.409943430925
2024/09/30/21:04:34.124792,1.85081554648,0.512149327682,184.501375845,0.385892795932,0.419943430925
2024/09/30/21:04:34.223320,1.9633114171,0.529546314512,199.395893029,0.395892795932,0.429943430925
2024/09/30/21:04:34.323823,2.07957396319,0.547328600764,215.071845338,0.405892795932,0.439943430925
2024/09/30/21:04:34.421530,2.19959898506,0.565505971758,231.549223374,0.415892795932,0.449943430925
2024/09/30/21:04:34.521785,2.32337870891,0.584088213466,248.848017686,0.425892795932,0.459943430925
2024/09/30/21:04:34.621581,2.4509013337,0.603085112521,266.98821877,0.435892795932,0.469943430925
2024/09/30/21:04:34.723001,2.58215064608,0.622506456223,285.989817066,0.445892795932,0.479943430925
2024/09/30/21:04:34.820508,2.7171061824,0.642362032539,305.872802955,0.455892795932,0.489943430925
2024/09/30/21:04:34.925060,2.85574381677,0.662661630109,326.657166755,0.465892795932,0.499943430925
2024/09/30/21:04:35.020584,2.99803632323,0.683415038244,348.362898719,0.475892795932,0.509943430925
2024/09/30/21:04:35.123618,0.0364236514222,0.09381130482,0.109888888276,0.0192054327372,0.0932591383113
2024/09/30/21:04:35.219353,0.0390090742143,0.103863149436,0.13958886091,0.0292054327372,0.103259138311
2024/09/30/21:04:35.323307,0.0442350661956,0.113932244409,0.217699174884,0.0392054327372,0.113259138311
2024/09/30/21:04:35.419166,0.0535230566491,0.124020508562,0.36421961359,0.0492054327372,0.123259138311
2024/09/30/21:04:35.522827,0.0674443958012,0.134129860716,0.599149960419,0.0592054327372,0.133259138311
2024/09/30/21:04:35.620905,0.0859015724853,0.144262219681,0.942489998762,0.0692054327372,0.143259138311
2024/09/30/21:04:35.722755,0.108581425159,0.154419504263,1.414239512,0.0792054327372,0.153259138311
2024/09/30/21:04:35.821757,0.135189201987,0.164603633262,2.03439828352,0.0892054327372,0.163259138311
2024/09/30/21:04:35.922982,0.165498395375,0.174816525469,2.82296609669,0.0992054327372,0.173259138311
2024/09/30/21:04:36.019605,0.199340329872,0.185060099674,3.79994273484,0.109205432737,0.183259138311
2024/09/30/21:04:36.120638,0.23658592689,0.195336274657,4.98532798129,0.119205432737,0.193259138311
2024/09/30/21:04:36.223766,0.277131698563,0.205646969197,6.39912161933,0.129205432737,0.203259138311
2024/09/30/21:04:36.323061,0.320890546391,0.215994102068,8.06132343216,0.139205432737,0.213259138311
2024/09/30/21:04:36.421927,0.367785981609,0.226379592042,9.99193320292,0.149205432737,0.223259138311
2024/09/30/21:04:36.522978,0.417748531515,0.236805357887,12.2109507146,0.159205432737,0.233259138311
2024/09/30/21:04:36.622033,0.470713503271,0.247273318371,14.7383757502,0.169205432737,0.243259138311
2024/09/30/21:04:36.722122,0.526619583566,0.257785392264,17.5942080923,0.179205432737,0.253259138311
2024/09/30/21:04:36.823821,0.585407947189,0.268343498334,20.7984475235,0.189205432737,0.263259138311
2024/09/30/21:04:36.924505,0.646557048818,0.278949555357,24.371093826,0.199205432737,0.273259138311
2024/09/30/21:04:37.021280,0.709604019569,0.289605482108,28.3321467816,0.209205432737,0.283259138311
2024/09/30/21:04:37.124698,0.774137768071,0.300313197374,32.7016061718,0.219205432737,0.293259138311
2024/09/30/21:04:37.222035,0.839792737322,0.311074619947,37.4994717777,0.229205432737,0.303259138311
2024/09/30/21:04:37.321630,0.906677916979,0.321891668631,42.7457433794,0.239205432737,0.313259138311
2024/09/30/21:04:37.419014,0.974891675772,0.332766262241,48.4604207569,0.249205432737,0.323259138311
2024/09/30/21:04:37.524493,1.04452215359,0.343700319612,54.6635036889,0.259205432737,0.333259138311
2024/09/30/21:04:37.622903,1.1156477438,0.354695759591,61.3749919534,0.269205432737,0.343259138311
2024/09/30/21:04:37.723877,1.1878995163,0.36575450105,68.6148853272,0.279205432737,0.353259138311
2024/09/30/21:04:37.821691,1.26094997864,0.376878462882,76.4031835859,0.289205432737,0.363259138311
2024/09/30/21:04:37.922422,1.33450786556,0.388069564009,84.7598865038,0.299205432737,0.373259138311
2024/09/30/21:04:38.023668,1.40831359215,0.399329723381,93.7049938532,0.309205432737,0.383259138311
2024/09/30/21:04:38.122446,1.48255265305,0.410660859982,103.258505405,0.319205432737,0.393259138311
2024/09/30/21:04:38.223046,1.55739368832,0.422064892833,113.440420928,0.329205432737,0.403259138311
2024/09/30/21:04:38.324120,1.63298947207,0.433543740995,124.270740187,0.339205432737,0.413259138311
2024/09/30/21:04:38.421688,1.70947787823,0.445099323574,135.769462948,0.349205432737,0.423259138311
2024/09/30/21:04:38.523253,1.78655652209,0.456733559726,147.956588971,0.359205432737,0.433259138311
2024/09/30/21:04:38.621779,1.8639567038,0.468448368656,160.852118012,0.369205432737,0.443259138311
2024/09/30/21:04:38.719628,1.94143910889,0.480245669628,174.476049827,0.379205432737,0.453259138311
2024/09/30/21:04:38.824146,2.01879007472,0.49212738197,188.848384166,0.389205432737,0.463259138311
2024/09/30/21:04:38.923579,2.09622815715,0.50409542507,203.989120774,0.399205432737,0.473259138311
2024/09/30/21:04:39.022853,2.17395246618,0.516151718392,219.918259392,0.409205432737,0.483259138311
2024/09/30/21:04:39.122012,2.25214385559,0.528298181473,236.655799758,0.419205432737,0.493259138311
2024/09/30/21:04:39.223234,2.33096606656,0.54053673393,254.2217416,0.429205432737,0.503259138311
2024/09/30/21:04:39.324351,2.410145673,0.552869295466,272.636084644,0.439205432737,0.513259138311
2024/09/30/21:04:39.420081,2.48943953355,0.565297785875,291.918828608,0.449205432737,0.523259138311
2024/09/30/21:04:39.523809,2.56863090392,0.577824125046,312.089973202,0.459205432737,0.533259138311
2024/09/30/21:04:39.620497,2.64752606561,0.590450232968,333.169518131,0.469205432737,0.543259138311
2024/09/30/21:04:39.725124,2.72635793775,0.603178029738,355.177463088,0.479205432737,0.553259138311
2024/09/30/21:04:39.824653,2.80533887626,0.616009435564,378.13380776,0.489205432737,0.563259138311
2024/09/30/21:04:39.923841,2.8846619453,0.628946370771,402.058551824,0.499205432737,0.573259138311
