time,.Ship_ID,.Pos_X,.Pos_Y,.Vel_U,.Heading
2024/09/30/21:04:37.124385,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:37.221800,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:37.321547,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:37.418843,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:37.524513,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:37.622883,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:37.723786,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:37.821473,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:37.922485,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:38.023183,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:38.122266,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:38.222842,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:38.324040,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:38.421623,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:38.523023,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:38.621695,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:38.719548,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:38.824053,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:38.923500,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:39.022756,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:39.121744,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:39.223135,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:39.324147,2001,150.023458093,127.676537085,0.532464530978,269.99534942
2024/09/30/21:04:39.420150,2001,150.023458093,127.676537085,0.532464530978,269.99534942
